股票代码,股票名称,所属方向,当日表现,核心逻辑浓缩,证据类型,舆情强度,情绪强度,兑现路径,验证点,负面触发,强度,状态分类
002050,三花智控,人形机器人,未提供,T链机器人总成核心供应商，特斯拉Optimus量产确定性受益,研报观点,强,强,订单/产能,T链交付进度,无,S,利好
601689,拓普集团,人形机器人,未提供,T链机器人总成供应商，深度绑定特斯拉人形机器人量产,研报观点,强,强,订单/产能,T链交付进度,无,S,利好
603009,北特科技,人形机器人,未提供,T链丝杠首选标的，中泰机械强call,研报观点,强,强,订单/产能,T链丝杠订单落地,无,S,利好
603728,鸣志电器,人形机器人,未提供,T链电机供应商，机器人关节电机核心环节,研报观点,中,强,订单/产能,T链电机验证进展,无,A,利好
688017,绿的谐波,人形机器人,未提供,谐波减速器龙头，与斯凯孚合资成立子公司全球化布局,公告/研报观点,强,强,订单/客户,合资公司运营进展,无,S,利好
002850,科达利,人形机器人,未提供,谐波减速器+物理AI双布局，主业高增+低估值，机器人有实质进展,研报观点,中,强,产能/订单,谐波减速器客户突破,无,A,利好
688279,峰岹科技,人形机器人,未提供,T链T1空心杯电机+自研传感器，客户端突破有望提升ASP,研报观点,中,强,客户/订单,传感器产品订单落地,无,A,利好
300969,恒帅股份,人形机器人,未提供,T链机器人电机稀缺标的,研报观点,中,中,客户/订单,T链电机定点,无,B,利好
601100,恒立液压,人形机器人,未提供,机器人丝杠环节核心供应商，液压件龙头跨界布局,研报观点,中,中,产能/订单,丝杠产品送样验证,无,B,利好
300115,长盈精密,人形机器人,未提供,机器人身体内部结构件供应商，复杂度高于外部结构件,研报观点,中,中,订单/产能,结构件量产验证,无,B,利好
603211,晋拓股份,人形机器人,未提供,唯一与宇树科技绑定成立合资公司，宇树IPO直接受益标的,小作文/研报观点,强,强,事件,宇树IPO进度+合资运营进展,无,A,观察
603730,岱美股份,人形机器人,未提供,电子皮肤赛道弹性标的，格局未定环节,研报观点,弱,中,客户/订单,电子皮肤送样验证,仅送样,B,观察
301413,安培龙,人形机器人,未提供,六维力传感器布局，格局未定环节弹性标的,研报观点,弱,弱,客户/订单,传感器产品验证,仅送样,C,观察
301170,斯菱智驱,人形机器人,未提供,T链机器人确定性标的（正强股份/铁流/恒工精密同级），研报推荐,研报观点,弱,弱,客户/订单,T链验证进展,无,C,观察
301529,福赛科技,人形机器人,未提供,T链+NV链双线布局机器人标的,研报观点,弱,弱,客户/订单,双链验证进展,无,C,观察
605288,凯迪股份,人形机器人,未提供,T链+NV链（波士顿动力Atlas）机器人标的,研报观点,弱,弱,客户/订单,链验证进展,无,C,观察
603119,浙江荣泰,人形机器人,未提供,T链机器人供应商，研报推荐关注,研报观点,弱,弱,客户/订单,T链验证进展,无,C,观察
688386,泛亚微透,人形机器人,未提供,NV-波士顿动力链标的，英伟达全面布局世界模型+芯片+数据飞轮,研报观点,弱,弱,客户/订单,NV链验证进展,无,C,观察
301308,江波龙,存储/半导体,未提供,H1净利润92-110亿元同比+62204%~74394%，超去年全年7.7倍，已与多家存储原厂续签LTA,业绩预告,强,强,业绩/涨价,Q3存储价格与出货量,无,S,利好
