任务ID,股票代码,股票名称,所属方向,当日表现,核心逻辑浓缩,证据类型,舆情强度,情绪强度,兑现路径,验证点,负面触发,强度,状态分类,写入状态,写入时间,失败原因
ID-20260706-1,002850,科达利,人形机器人,未提供,T机器人结构件核心供应商，主业新能源结构件龙头，有技术/产线/资金三重优势，T量产离不开立利组合,研报；产业链调研,强,强,T量产订单,7月周产100-200台爬坡进展,无,A,利好,未写入,,
ID-20260706-2,601100,恒立液压,人形机器人,未提供,主业液压件王者基因，机器人结构件与执行器布局，有技术/生产经验/资金优势，T量产核心配套,研报；产业链调研,强,强,T量产订单,三季度整机爬坡带动零部件放量,无,A,利好,未写入,,
ID-20260706-3,603009,北特科技,人形机器人,未提供,T链大小丝杠均下订单，海外建厂顺利推进，丝杠环节核心供应商,研报；产业链调研,强,强,T丝杠订单交付,海外建厂进度及量产交付,无,A,利好,未写入,,
ID-20260706-4,603119,浙江荣泰,人形机器人,未提供,T链大小丝杠供应商，与北特科技共同覆盖丝杠需求，海外建厂同步推进,研报；产业链调研,中,强,T丝杠订单交付,量产订单落地,无,B,利好,未写入,,
ID-20260706-5,300969,恒帅股份,人形机器人,未提供,T链手部电机型号拿全，身体电机亦有突破，电机环节核心供应商,研报；产业链调研,中,强,T电机订单,手部/身体电机量产交付,无,B,利好,未写入,,
ID-20260706-6,688322,奥比中光,人形机器人,未提供,国内唯一3D视觉感知供应商，格局极佳，T机器人视觉环节独占性标的,研报；产业链调研,中,中,T视觉订单,视觉方案定型及订单落地,无,B,利好,未写入,,
ID-20260706-7,301525,儒竞科技,人形机器人,未提供,市值最小的T链机器人标的(66亿)，驱控单台价值量约1万，Q4对T规模供应，国产链智元批量,研报；产业链调研,中,强,T驱控规模供应,Q4批量交付落地,无,B,利好,未写入,,
ID-20260706-8,688279,峰岹科技,人形机器人,未提供,T链电机驱动芯片供应商，国产无刷电机驱动芯片龙头，机器人关节控制核心,研报；产业链调研,中,中,驱动芯片订单,量产芯片交付,无,B,利好,未写入,,
ID-20260706-9,601689,拓普集团,人形机器人,未提供,T链机器人结构件老牌供应商，汽车+机器人双主线，产能空间大,研报；产业链调研,中,中,T机器人结构件订单,产能利用率提升,无,B,利好,未写入,,
ID-20260706-10,002050,三花智控,人形机器人,未提供,T链热管理/机电执行器供应商，汽车热管理龙头，机器人机电执行器延伸布局,研报；产业链调研,中,中,T机电执行器订单,执行器量产进度,无,B,利好,未写入,,
ID-20260706-11,688017,绿的谐波,人形机器人,未提供,国产谐波减速器龙头，人形机器人关节核心零部件，T链潜在供应商,研报；产业链调研,中,中,减速器订单,T链送样验证进展,无,B,利好,未写入,,
ID-20260706-12,603728,鸣志电器,人形机器人,未提供,步进电机/伺服系统龙头，人形机器人关节驱动，T链潜在供应商,研报；产业链调研,弱,中,电机订单,T链认证进展,无,C,观察,未写入,,
ID-20260706-13,605488,福莱新材,人形机器人,未提供,电子皮肤材料供应商，T机器人触觉传感环节，电子皮肤赛道龙头,研报；产业链调研,弱,中,电子皮肤订单,产品定型及送样,无,C,观察,未写入,,
ID-20260706-14,002931,锋龙股份,人形机器人,未提供,国内机器人本体标的，受益国产人形机器人产业链景气上行,研报；产业链调研,弱,弱,国产本体订单,产品落地进度,无,C,观察,未写入,,
ID-20260706-15,301225,恒勃股份,人形机器人,未提供,PEEK材料运动功能件龙头，机器人轻量化结构件，T链PEEK供应商,研报；产业链调研,弱,弱,PEEK材料订单,PEEK量产应用,无,C,观察,未写入,,
ID-20260706-16,301308,江波龙,存储芯片,业绩超预期,AI驱动企业级存储爆发，2026H1扣非净利环比+218%，承接美光/三星/AI客户订单，雷克沙品牌放量,业绩预告；公告,强,强,业绩兑现,Q3营收利润趋势,无,S,利好,未写入,,
ID-20260706-17,001309,德明利,存储芯片,未提供,国产SSD主控隐形龙头，国内份额前三，主控芯片供货存储模组厂商，订单至2026年底,研报；行业新闻,中,中,存储模组订单,订单延续情况,无,B,利好,未写入,,
ID-20260706-18,688525,佰维存储,存储芯片,未提供,长鑫第一大NAND采购客户，自建封测产线，嵌入式存储龙头，订单排产至2027年,研报；行业新闻,中,中,长鑫订单+自有品牌,长鑫上市催化+订单执行,无,B,利好,未写入,,
ID-20260706-19,603986,兆易创新,存储芯片,未提供,NOR Flash全球第三，持股长鑫1.88%，深度绑定长鑫存储设计龙头，订单至2027年,研报；行业新闻,中,中,NOR Flash+DRAM双线,长鑫上市进度,无,B,利好,未写入,,
ID-20260706-20,688008,澜起科技,存储芯片,未提供,全球DDR5内存接口芯片龙头，长鑫DRAM配套唯一国产接口芯片，单台AI服务器搭载多颗,研报；行业新闻,中,强,DDR5渗透+AI服务器放量,长鑫DDR5量产进度,无,A,利好,未写入,,
ID-20260706-21,000021,深科技,存储芯片,未提供,国内最大独立DRAM封测，沛顿科技承接长鑫60%-70%委外封测，全球希捷磁头独家供应商,研报；行业新闻,中,中,长鑫封测订单,封测产能利用率,无,B,利好,未写入,,
ID-20260706-22,600105,永鼎股份,光纤光缆,业绩超预期（主业同比+1624%~2314%）,主业光纤利润同比暴增16-23倍，光棒/光纤/光芯片全产业链，AI算力中心驱动量价齐升，全年大幅上修空间,业绩预告；公告,强,强,业绩兑现+海外算力订单,下半年海外订单落地+全年业绩上修,无,S,利好,未写入,,
ID-20260706-23,603618,杭电股份,光纤光缆,业绩超预期,AI算力中心光纤需求爆发，光缆业务量价齐升，H1净利大幅超预期,业绩预告；公告,强,强,业绩兑现,Q3持续放量,无,A,利好,未写入,,
ID-20260706-24,601869,长飞光纤,光纤光缆,未提供,全球光纤龙头，棒纤缆垂直一体化壁垒高，北美高价长协锁定今明年，港股仅1500亿性价比突出,研报；产业链调研,强,强,北美长协交付+光纤涨价,北美订单执行价格,无,A,利好,未写入,,
ID-20260706-25,688048,长光华芯,光芯片,未提供,中国光芯片龙头，全品类布局，预期差最大，未来三年或成为200G EML和CW激光器全球主导之一,研报；产业链调研,强,强,高端光芯片国产替代,EML产品量产进度,无,A,利好,未写入,,
ID-20260706-26,300308,中际旭创,光模块,未提供,全球光模块龙头，订单持续上修，物料保供好于预期，高价值新品加速推出，AI光通信核心,研报；产业链调研,强,强,800G/1.6T出货,Q3出货量+业绩兑现,无,A,利好,未写入,,
