任务ID,股票代码,股票名称,所属方向,当日表现,核心逻辑浓缩,证据类型,舆情强度,情绪强度,兑现路径,验证点,负面触发,强度,状态分类,写入状态,写入时间,失败原因
ID-20260706-1,002050,三花智控,人形机器人,热榜,T链总成核心供应商，Optimus量产直接拉动热管理+机电执行器需求,研报观点；产业链映射,强,强,订单/量产,特斯拉Q3量产爬坡进度,无,A,利好,未写入,,
ID-20260706-2,601100,恒立液压,人形机器人,热榜,T链丝杠核心供应商，主业液压件龙头+机器人丝杠卡位，有望获实质份额,研报观点；产业链映射,强,强,订单/量产,Q3丝杠定点订单确认,无,A,利好,未写入,,
ID-20260706-3,002850,科达利,人形机器人,热榜,主业锂电结构件高增+谐波减速器实质进展+T链结构件双卡位,研报观点；产业链映射,强,强,订单/量产,谐波减速器送样及定点进展,无,A,利好,未写入,,
ID-20260706-4,688279,峰岹科技,人形机器人,未提供,主业AI芯片高增+绑定T链T1空心杯电机+自研传感器产品突破,研报观点；产业链映射,中,中,订单/客户,客户端传感器订单验证,无,B,观察,未写入,,
ID-20260706-5,300969,恒帅股份,人形机器人,未提供,T链机器人电机稀缺标的，手部型号拿全，身体亦有突破,研报观点；产业链映射,中,中,订单/客户,电机订单落地验证,无,B,观察,未写入,,
ID-20260706-6,603009,北特科技,人形机器人,未提供,T链大小丝杠均下订单，海外建厂顺利，丝杠环节高确定性,研报观点,强,强,订单/量产,丝杠交付量与良率,无,A,利好,未写入,,
ID-20260706-7,301188,浙江荣泰,人形机器人,未提供,T链丝杠环节供应商，大小丝杠已下订单，受益量产爬坡,研报观点,中,中,订单/量产,量产交付节奏,无,B,观察,未写入,,
ID-20260706-8,300115,长盈精密,人形机器人,未提供,T链结构件供应商（身体内部复杂结构），主业消费电子+新能源双轮驱动,研报观点；产业链映射,中,中,订单/量产,结构件定点确认,无,B,观察,未写入,,
ID-20260706-9,688017,绿的谐波,人形机器人,未提供,与斯凯孚合资成立子公司，全球化布局再下一城，谐波减速器龙头,公告,中,中,客户/全球化,合资公司运营进展,无,B,利好,未写入,,
ID-20260706-10,603211,晋拓股份,人形机器人,未提供,唯一与宇树科技绑定成立合资公司，宇树IPO最直接受益标的,研报观点；映射补全,强,强,事件/客户,宇树IPO进展及订单,无,B,观察,未写入,,
ID-20260706-11,301525,儒竞科技,人形机器人,未提供,市值最小T链驱控标的，Q4规模供应T，单台价值约1万元，数倍补涨空间,研报观点,中,中,订单/量产,Q4规模供应验证,无,B,观察,未写入,,
ID-20260706-12,603728,鸣志电器,人形机器人,未提供,T链电机供应商，步进电机及运动控制龙头,研报观点；产业链映射,中,中,订单/客户,量产定点确认,无,B,观察,未写入,,
ID-20260706-13,689009,拓普集团,人形机器人,未提供,T链总成+执行器供应商，汽车底盘龙头延伸机器人业务,研报观点；产业链映射,强,强,订单/量产,执行器定点与交付,无,A,利好,未写入,,
ID-20260706-14,603730,岱美股份,人形机器人,未提供,电子皮肤环节布局，格局未定弹性标的,研报观点；映射补全,弱,弱,客户/验证,送样及客户认证,无,C,观察,未写入,,
ID-20260706-15,301413,安培龙,人形机器人,未提供,六维力传感器布局，格局未定弹性标的,研报观点；映射补全,弱,弱,客户/验证,送样进展,无,C,观察,未写入,,
ID-20260706-16,301308,江波龙,存储/业绩预增,热榜/涨停预期,H1归母净利92-110亿同比+62204%-74394%，超去年全年7.7倍，签多家原厂LTA协议,业绩预告；公告,强,强,业绩/涨价,Q3存储价格走势及出货量,无,S,利好,未写入,,
